arm,model_name,question_number,mention_text,classification,sources,matched_kb_company,similarity,matched_field,matched_value
direct_context,base,2,Weitzman LLC,true_out_of_kb_hallucination,answer_prose,Linde + Wiemann,0.4762,,
direct_context,base,6,Novelis Inc,known_kb_company,answer_prose,Novelis Inc.,1.0,,
direct_context,base,6,North America,kb_supported_non_company_field,answer_prose,,,Primary OEMs,porsche cars north america inc
direct_context,base,6,Asia. Novelis Inc,known_kb_company,answer_prose,Novelis Inc.,1.0,,
direct_context,base,11,Sewon America Inc,known_kb_company,answer_prose,Sewon America Inc.,1.0,,
direct_context,base,13,Battery Pack Manufacturing,true_out_of_kb_hallucination,answer_prose,Beaver Manufacturing Co. Inc.,0.7826,,
direct_context,base,16,Georgia Copper Foil Company,true_out_of_kb_hallucination,answer_prose,ACM Georgia LLC,0.4667,,
direct_context,base,17,Covestro LLC,true_out_of_kb_hallucination,answer_prose,Novelis Inc.,0.5333,,
direct_context,base,18,Southern Company,known_kb_company,answer_prose,Jefferson Southern Corporation,partial,,
direct_context,base,23,Electrify America,not_a_company_phrase,answer_prose,,,,
direct_context,base,27,BorgWarner Inc,true_out_of_kb_hallucination,answer_prose,Morgan Corp.,0.625,,
direct_context,base,28,Thermacore Inc,true_out_of_kb_hallucination,answer_prose,Thermal Ceramics Inc.,0.6154,,
direct_context,base,28,Thermotek Inc,true_out_of_kb_hallucination,answer_prose,Thermal Ceramics Inc.,0.48,,
direct_context,base,28,Thermal Solutions Inc,true_out_of_kb_hallucination,answer_prose,DAEHAN Solution Georgia LLC,0.55,,
direct_context,base,28,Thermcraft Inc,true_out_of_kb_hallucination,answer_prose,Thermal Ceramics Inc.,0.6154,,
direct_context,base,28,Power Electronics Inc,true_out_of_kb_hallucination,answer_prose,TCI Powder Coatings,0.5556,,
direct_context,base,28,Power Electronics Systems,true_out_of_kb_hallucination,answer_prose,Global Powertrain Systems LLC,0.64,,
direct_context,base,28,Power Electronics Solutions Inc,true_out_of_kb_hallucination,answer_prose,Murata Electronics North America Inc.,0.5763,,
direct_context,base,30,Toyota Motor Manufacturing,misspelled_kb_company,answer_prose,Yamaha Motor Manufacturing Corp.,0.8462,,
direct_context,base,30,Honda Manufacturing,misspelled_kb_company,answer_prose,Suhner Manufacturing Corp.,0.8205,,
direct_context,base,30,Nissan North America,not_a_company_phrase,answer_prose,,,,
direct_context,base,30,Hyundai Motor Manufacturing,known_kb_company,answer_prose,Hyundai Motor Group,1.0,,
direct_context,base,30,Kia Motors Manufacturing,misspelled_kb_company,answer_prose,Yamaha Motor Manufacturing Corp.,0.84,,
direct_context,base,30,BMW Manufacturing,true_out_of_kb_hallucination,answer_prose,Beaver Manufacturing Co. Inc.,0.8108,,
direct_context,base,30,Ford Motor Company,true_out_of_kb_hallucination,answer_prose,FOX Factory,0.5714,,
direct_context,base,34,Georgia Power Company,true_out_of_kb_hallucination,answer_prose,ACM Georgia LLC,0.5833,,
direct_context,base,36,Ford Motor Company,true_out_of_kb_hallucination,answer_prose,FOX Factory,0.5714,,
direct_context,base,36,Toyota Motor North America,not_a_company_phrase,answer_prose,,,,
direct_context,base,42,Kia Motors Manufacturing,misspelled_kb_company,answer_prose,Yamaha Motor Manufacturing Corp.,0.84,,
direct_context,kb_only,2,Lark United Manufacturing Inc,known_kb_company,answer_prose,Lark United Manufacturing Inc.,1.0,,
direct_context,kb_only,2,Industry Group,not_a_company_phrase,answer_prose,,,,
direct_context,kb_only,4,NIFCO KTW America Corp,known_kb_company,answer_prose,NIFCO KTW America Corp.,1.0,,
direct_context,kb_only,4,Industry Group,not_a_company_phrase,answer_prose,,,,
direct_context,kb_only,5,Haering Precision USA,misspelled_kb_company,answer_prose,Haering Precision USA LP,0.9333,,
direct_context,kb_only,5,Industry Group,not_a_company_phrase,answer_prose,,,,
direct_context,kb_only,6,Novelis Inc,known_kb_company,answer_prose,Novelis Inc.,1.0,,
direct_context,kb_only,6,Industry Group,not_a_company_phrase,answer_prose,,,,
direct_context,kb_only,7,ZF Gainesville LLC,known_kb_company,answer_prose,ZF Gainesville LLC,1.0,,
direct_context,kb_only,7,OEM Supply Chain Industry Group,true_out_of_kb_hallucination,answer_prose,Toyota Industries Group (TACG-TICA),0.5312,,
direct_context,kb_only,9,Industry Group,not_a_company_phrase,answer_prose,,,,
direct_context,kb_only,10,Industry Group,not_a_company_phrase,answer_prose,,,,
direct_context,kb_only,12,Flambeau Inc,known_kb_company,answer_prose,Flambeau Inc.,1.0,,
direct_context,kb_only,12,Industry Group,not_a_company_phrase,answer_prose,,,,
direct_context,kb_only,13,OEM Industry Group,true_out_of_kb_hallucination,answer_prose,Toyota Industries Group (TACG-TICA),0.5882,,
direct_context,kb_only,13,Kia Georgia Inc,known_kb_company,answer_prose,Kia Georgia Inc.,1.0,,
direct_context,kb_only,16,Flambeau Inc,known_kb_company,answer_prose,Flambeau Inc.,1.0,,
direct_context,kb_only,16,Industry Group,not_a_company_phrase,answer_prose,,,,
direct_context,kb_only,18,Industry Group,not_a_company_phrase,answer_prose,,,,
direct_context,kb_only,19,DAS Corp,known_kb_company,answer_prose,DAS Corp.,1.0,,
direct_context,kb_only,19,Industry Group,not_a_company_phrase,answer_prose,,,,
direct_context,kb_only,22,Fanello Industries Inc,known_kb_company,answer_prose,Fanello Industries Inc.,1.0,,
direct_context,kb_only,22,Industry Group,not_a_company_phrase,answer_prose,,,,
direct_context,kb_only,22,Primary Metal Industries,industry_group_false_positive,answer_prose,,,Industry Group,primary metal industries
direct_context,kb_only,24,NIFCO KTW America Corp,known_kb_company,answer_prose,NIFCO KTW America Corp.,1.0,,
direct_context,kb_only,24,Industry Group,not_a_company_phrase,answer_prose,,,,
direct_context,kb_only,26,Peerless-Winsmith Inc,known_kb_company,answer_prose,Peerless-Winsmith Inc.,1.0,,
direct_context,kb_only,26,Industry Group,not_a_company_phrase,answer_prose,,,,
direct_context,kb_only,27,Industry Group,not_a_company_phrase,answer_prose,,,,
direct_context,kb_only,28,Jefferson Southern Corp,known_kb_company,answer_prose,Jefferson Southern Corp.,1.0,,
direct_context,kb_only,28,Industry Group,not_a_company_phrase,answer_prose,,,,
direct_context,kb_only,29,GSC Steel Stamping LLC,known_kb_company,answer_prose,GSC Steel Stamping LLC,1.0,,
direct_context,kb_only,29,Industry Group,not_a_company_phrase,answer_prose,,,,
direct_context,kb_only,29,Toyota Industries Electric Systems,known_kb_company,answer_prose,Toyota Industries Group (TACG-TICA),1.0,,
direct_context,kb_only,29,Jackson America,product_service_false_positive,answer_prose,,,Product / Service,deep grove ball bearings toyota industries electric systems north 255 dc to dc converters jackson america inc
direct_context,kb_only,30,Lear Corporation,known_kb_company,answer_prose,Lear Corporation,1.0,,
direct_context,kb_only,30,Industry Group,not_a_company_phrase,answer_prose,,,,
direct_context,kb_only,34,Neaton Rome Inc. Company,known_kb_company,answer_prose,Neaton Rome Inc.,1.0,,
direct_context,kb_only,34,Industry Group,not_a_company_phrase,answer_prose,,,,
direct_context,kb_only,35,SK Battery America,known_kb_company,answer_prose,SK Battery America,1.0,,
direct_context,kb_only,35,Industry Group,not_a_company_phrase,answer_prose,,,,
direct_context,kb_only,36,Yes Industry Group,true_out_of_kb_hallucination,answer_prose,Lyle Industries Inc.,0.6061,,
direct_context,kb_only,38,Dinex Emissions Inc,known_kb_company,answer_prose,Dinex Emissions Inc.,1.0,,
direct_context,kb_only,38,Industry Group,not_a_company_phrase,answer_prose,,,,
direct_context,kb_only,38,Primary Metal Industries,industry_group_false_positive,answer_prose,,,Industry Group,primary metal industries
direct_context,kb_only,41,ZF Gainesville LLC,known_kb_company,answer_prose,ZF Gainesville LLC,1.0,,
direct_context,kb_only,41,OEM Supply Chain Industry Group,true_out_of_kb_hallucination,answer_prose,Toyota Industries Group (TACG-TICA),0.5312,,
direct_context,kb_only,42,EV Supply Chain) Company,true_out_of_kb_hallucination,answer_prose,EVCO Plastics,0.4286,,
direct_context,kb_only,42,Industry Group,not_a_company_phrase,answer_prose,,,,
direct_context,kb_web,1,SK Battery America,known_kb_company,answer_prose,SK Battery America,1.0,,
direct_context,kb_web,3,Affiliation Group,true_out_of_kb_hallucination,answer_prose,Wheelabrator Group Inc.,0.5714,,
direct_context,kb_web,6,Novelis Inc,known_kb_company,answer_prose,Novelis Inc.,1.0,,
direct_context,kb_web,7,Hyundai Motor Group Metaplant America,known_kb_company,answer_prose,Hyundai Motor Group,1.0,,
direct_context,kb_web,8,Mercedes-Benz USA,known_kb_company,answer_prose,Mercedes-Benz USA LLC,1.0,,
direct_context,kb_web,11,Sewon America Inc,known_kb_company,answer_prose,Sewon America Inc.,1.0,,
direct_context,kb_web,12,Blue Bird Corporation,known_kb_company,answer_prose,Blue Bird Corp.,1.0,,
direct_context,kb_web,12,Carcoustics USA,known_kb_company,answer_prose,Carcoustics USA,1.0,,
direct_context,kb_web,12,Clariant USA,not_a_company_phrase,answer_prose,,,,
direct_context,kb_web,13,Hyundai Motor Group,known_kb_company,answer_prose,Hyundai Motor Group,1.0,,
direct_context,kb_web,13,Mercedes-Benz USA,known_kb_company,answer_prose,Mercedes-Benz USA LLC,1.0,,
direct_context,kb_web,13,Porsche Cars North America,known_kb_company,answer_prose,Porsche Cars North America Inc.,1.0,,
direct_context,kb_web,13,Volkswagen Group,true_out_of_kb_hallucination,answer_prose,Volvo Group North America,0.439,,
direct_context,kb_web,13,Volvo Cars USA,known_kb_company,answer_prose,Volvo Cars USA,1.0,,
direct_context,kb_web,13,BMW Group,true_out_of_kb_hallucination,answer_prose,Wheelabrator Group Inc.,0.5185,,
direct_context,kb_web,13,Ford Motor Company,true_out_of_kb_hallucination,answer_prose,FOX Factory,0.5714,,
direct_context,kb_web,13,Honda Motor Co,true_out_of_kb_hallucination,answer_prose,Hyundai Motor Group,0.6667,,
direct_context,kb_web,13,Nissan Motor Co,true_out_of_kb_hallucination,answer_prose,Hyundai Motor Group,0.5161,,
direct_context,kb_web,20,Battery Pack Industry Group,true_out_of_kb_hallucination,answer_prose,Bosal Industries Georgia,0.5098,,
direct_context,kb_web,21,Automotive Systems,industry_group_false_positive,answer_prose,,,Industry Group,automotive systems and components
direct_context,kb_web,22,Primary Metal Industries,industry_group_false_positive,answer_prose,,,Industry Group,primary metal industries
direct_context,kb_web,26,Arising Industries,known_kb_company,answer_prose,Arising Industries Inc.,1.0,,
direct_context,kb_web,26,Constellium Automotive USA,known_kb_company,answer_prose,Constellium Automotive USA,1.0,,
direct_context,kb_web,26,DAS Corp,known_kb_company,answer_prose,DAS Corp.,1.0,,
direct_context,kb_web,31,Novelis Inc,known_kb_company,answer_prose,Novelis Inc.,1.0,,
direct_context,kb_web,31,Hindalco Industries,true_out_of_kb_hallucination,answer_prose,Fanello Industries Inc.,0.7568,,
direct_context,kb_web,33,Hyundai Motor Group,known_kb_company,answer_prose,Hyundai Motor Group,1.0,,
direct_context,kb_web,34,Hanon Systems,known_kb_company,answer_prose,Hanon Systems USA LLC,1.0,,
direct_context,kb_web,39,Novelis Inc,known_kb_company,answer_prose,Novelis Inc.,1.0,,
direct_context,kb_web,39,Hyundai Motor Group Metaplant America,known_kb_company,answer_prose,Hyundai Motor Group,1.0,,
direct_context,kb_web,39,Hyundai Motor Group,known_kb_company,answer_prose,Hyundai Motor Group,1.0,,
